City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
90,kapaa,22.0752,-159.319,75.52,91,75,9.22,1675324587
91,christchurch,-43.5333,172.6333,77.92,51,100,10.36,1675325317
92,jamestown,42.097,-79.2353,19.54,67,0,10.36,1675324854
93,balakhta,55.38,91.6,6.66,91,37,0.76,1675325425
94,san quintin,30.4833,-115.95,54.46,63,0,3.09,1675325426
95,tasiilaq,65.6145,-37.6368,23.16,60,100,38.88,1675324937
96,vardo,70.3705,31.1107,30.18,80,40,18.41,1675325428
97,launceston,-41.45,147.1667,52.61,89,40,11.5,1675325015
98,kieta,-6.2167,155.6333,80.64,83,99,5.82,1675325429
99,bedesa,8.9,40.7833,74.82,20,10,4.81,1675325240
100,inhambane,-23.865,35.3833,83.46,54,28,7.76,1675325431
101,sao filipe,14.8961,-24.4956,70.2,73,89,12.57,1675325433
102,trairi,-3.2778,-39.2689,75.45,92,100,7.92,1675325351
103,saint-philippe,-21.3585,55.7679,85.59,74,6,8.68,1675324852
104,bethel,41.3712,-73.414,25.93,70,89,4.34,1675324896
105,ancud,-41.8697,-73.8203,49.39,87,15,3.87,1675324979
106,ixtapa,20.7,-105.2,69.22,88,78,2.77,1675324847
107,sur,22.5667,59.5289,74.48,51,4,7.81,1675325437
108,bayangol,50.6977,103.4656,16.84,67,14,1.3,1675325438
109,souillac,-20.5167,57.5167,84.58,74,40,5.75,1675325109
110,mar del plata,-38.0023,-57.5575,71.1,86,100,11.01,1675325438
111,surskoye,54.4821,46.7214,22.66,85,97,8.61,1675325439
112,santiago,-33.4569,-70.6483,72.86,47,0,0.0,1675325440
113,san carlos de bariloche,-41.1456,-71.3082,49.24,72,47,5.41,1675325237
114,port elizabeth,-33.918,25.5701,77.09,72,0,10.36,1675324920
115,humaita,-7.5061,-63.0208,71.22,99,52,2.13,1675325441
116,tyup,42.7276,78.3648,34.45,79,100,1.81,1675325443
117,tura,25.5198,90.2201,80.58,22,2,4.74,1675324902
118,deputatskiy,69.3,139.9,-16.64,97,100,4.09,1675324917
119,nara,34.6851,135.8049,42.96,38,98,9.51,1675325407
120,san vicente,-26.6167,-54.1333,66.2,91,21,1.23,1675325445
121,mayumba,-3.432,10.6554,81.68,76,23,6.53,1675325446
122,teahupoo,-17.8333,-149.2667,75.16,77,6,20.33,1675325447
123,saint-augustin,51.226,-58.6502,-9.71,92,91,4.88,1675325447
124,isoka,-10.1606,32.6335,71.28,79,98,2.06,1675325448
125,sangar,63.9242,127.4739,-28.68,88,100,7.87,1675325153
126,bud,39.447,-86.1758,24.98,69,100,4.61,1675325069
127,lima,-12.0432,-77.0282,74.89,82,40,11.5,1675325293
128,solwezi,-12.1688,26.3894,63.07,97,100,2.98,1675325450
129,saint-leu,-21.15,55.2833,85.06,72,16,2.62,1675325450
130,jumla,29.2747,82.1838,59.99,12,100,7.07,1675324961
131,merke,42.8728,73.1786,40.77,98,100,1.21,1675325451
132,isangel,-19.55,169.2667,80.91,83,26,6.93,1675325452
133,kirkwall,58.9848,-2.9587,41.97,93,75,13.8,1675325452
134,cidreira,-30.1811,-50.2056,74.05,91,71,2.66,1675324914
135,barrow,71.2906,-156.7887,-5.78,77,0,21.85,1675324879
136,north bend,43.4065,-124.2243,39.07,93,0,6.91,1675325454
